Date,asset,vix,asset_ret,realized_vol,vol_z,ema_fast,ema_slow,risk_off,risk_on,position,switch,strategy_ret,buy_hold_ret,strategy_equity,buy_hold_equity
2010-01-05,40.34160232543945,19.350000381469727,0.0,,,40.34160232543945,40.34160232543945,False,False,0.0,0.0,0.0,0.0,1.0,1.0
2010-01-06,40.09825897216797,19.15999984741211,-0.006032069606665913,,,40.332059448840575,40.33918099854123,True,False,-1.0,1.0,0.005752704527300834,-0.006032069606665913,1.005752704527301,0.9939679303933341
2010-01-07,40.12433624267578,19.059999465942383,0.0006503342333619155,,,40.32391344075568,40.3370432397764,True,False,-1.0,0.0,-0.0007296993127269949,0.0006503342333619155,1.005018807470034,0.9946143417653328
2010-01-08,40.45457458496094,18.1299991607666,0.0082303752088968,,,40.3290374071951,40.33821270589764,False,False,-1.0,0.0,-0.00830974028826188,0.0082303752088968,0.9966673621951392,1.0028003909862113
2010-01-11,40.289459228515625,17.549999237060547,-0.004081500254032977,,,40.32748532175669,40.33772759666996,True,False,-1.0,0.0,0.004002135174667898,-0.004081500254032977,1.0006561597028238,0.9987074609356568
2010-01-12,39.78538513183594,18.25,-0.01251131453069787,,,40.30622649077941,40.332231651746234,True,False,-1.0,0.0,0.01243194945133279,-0.01251131453069787,1.013096266498414,0.9862123177677361
2010-01-13,40.28076171875,17.850000381469727,0.012451220096840743,,,40.30522787226845,40.331719513109455,True,False,-1.0,0.0,-0.012530585176205823,0.012451220096840743,1.0004015774393595,0.9984918643984776
2010-01-14,40.31552505493164,17.6299991607666,0.0008630257894417515,,,40.30563168335328,40.33155837422211,True,False,-1.0,0.0,-0.0009423908688068308,0.0008630257894417515,0.9994588081276407,0.9993535886280013
2010-01-15,39.846221923828125,17.90999984741211,-0.011640754534737452,,,40.2876156143523,40.326729155810234,True,False,-1.0,0.0,0.011561389455372372,-0.011640754534737452,1.0110139406530065,0.9877203588093737
2010-01-19,40.48933029174805,17.579999923706055,0.01613975772030085,,,40.295525993858014,40.32834707756086,False,False,-1.0,0.0,-0.01621912279966593,0.01613975772030085,0.9946161813973812,1.0036619260959656
2010-01-20,39.90706253051758,18.68000030517578,-0.014380770366783202,,,40.28029213255055,40.32415519152063,True,False,-1.0,0.0,0.014301405287418122,-0.014380770366783202,1.0088405905129694,0.9892284944108962
2010-01-21,39.53337860107422,22.270000457763672,-0.009363854559768625,,,40.25100140582599,40.3162867677351,True,False,-1.0,0.0,0.009284489480403545,-0.009363854559768625,1.0182071603629912,0.9799655026628536
2010-01-22,38.377532958984375,27.309999465942383,-0.02923720873324087,,,40.177532054969454,40.29699568506096,True,False,-1.0,0.0,0.029157843653875793,-0.02923720873324087,1.047895885552112,0.9513140467101245
2010-01-25,38.50788497924805,25.40999984741211,0.0033965711241257246,,,40.112055699058814,40.27919358848571,True,False,-1.0,0.0,-0.003475936203490804,0.0033965711241257246,1.0442534663060323,0.9545452525311553
2010-01-26,38.54263687133789,24.549999237060547,0.0009024617194264284,,,40.0505098626776,40.26191441717081,True,False,-1.0,0.0,-0.0009818267987915076,0.0009024617194264284,1.043228190268082,0.9554066930810249
