Date,asset,vix,asset_ret,realized_vol,vol_z,ema_fast,ema_slow,core_risk_off,option_risk_off,condition_score,risk_off,risk_on,position,switch,strategy_ret,buy_hold_ret,strategy_equity,buy_hold_equity
2020-01-03,206.66966247558594,14.020000457763672,-0.009160089562784135,,,208.50535044950598,208.56126540454466,True,False,0,True,False,0.0,0.0,-0.0,-0.009160089562784135,1.0,0.9908399104372159
2020-01-06,208.00128173828125,13.850000381469727,0.006443225613012249,,,208.4855830490658,208.55569342776593,True,False,0,True,False,-1.0,1.0,-0.006722590692377328,0.006443225613012249,0.9932774093076226,0.9972241155265397
2020-01-07,207.97227478027344,13.789999961853027,-0.00013945566952955346,,,208.46545331303474,208.54988826709436,True,False,0,True,False,-1.0,0.0,6.0090590164474096e-05,-0.00013945566952955346,0.993337095933345,0.9970850469698379
2020-01-08,209.5354766845703,13.449999809265137,0.007516395663549114,,,208.50741501387927,208.55969511701952,False,False,0,False,False,-1.0,0.0,-0.007595760742914193,0.007516395663549114,0.985791945015574,1.0045795326930718
2020-01-09,211.3109893798828,12.539999961853027,0.00847356602044691,,,208.6173591066637,208.58707117933656,False,False,0,False,True,-1.0,0.0,-0.00855293109981199,0.00847356602044691,0.977360534431106,1.013091903686136
2020-01-10,210.77059936523438,12.5600004196167,-0.002557320924170936,,,208.70179990111748,208.60879782795246,False,False,0,False,True,1.0,2.0,-0.0029573209241709362,-0.002557320924170936,0.974470165672174,1.0105011025627313
2020-01-13,213.20223999023438,12.319999694824219,0.011536906154478999,,,208.8782877477495,208.65450372011446,False,False,0,False,True,1.0,0.0,0.011536906154478999,0.011536906154478999,0.9857125365238735,1.0221591589519952
2020-01-14,212.36276245117188,12.390000343322754,-0.003937470540182675,,,209.0149338145504,208.69140181694092,False,False,0,False,True,1.0,0.0,-0.003937470540182675,-0.003937470540182675,0.981831322450222,1.0181344373762438
2020-01-15,212.44961547851562,12.420000076293945,0.0004089842604289018,,,209.14962721313728,208.7287969777526,False,False,0,False,True,1.0,0.0,0.0004089842604289018,0.0004089842604289018,0.9822328760075002,1.0185508383361312
2020-01-16,214.48561096191406,12.319999694824219,0.009583427481441253,,,209.3588814777952,208.7860787089383,False,False,0,False,True,1.0,0.0,0.009583427481441253,0.009583427481441253,0.9916460335446056,1.0283120464314868
2020-01-17,215.54702758789062,12.100000381469727,0.004948661223549644,,,209.60155387426954,208.85335183211197,False,False,0,False,True,1.0,0.0,0.004948661223549644,0.004948661223549644,0.9965533538182946,1.0334008143813713
2020-01-21,215.45053100585938,12.850000381469727,-0.00044768226735070193,,,209.83092552648876,208.9189954059801,False,False,0,False,True,1.0,0.0,-0.00044768226735070193,-0.00044768226735070193,0.9961072145533213,1.032938179161707
2020-01-22,216.01980590820312,12.90999984741211,0.002642253419780527,,,210.07362671792853,208.989650236848,False,False,0,False,True,1.0,0.0,0.002642253419780527,0.002642253419780527,0.9987391822474428,1.0356674635980188
2020-01-23,216.71461486816406,12.979999542236328,0.0032164132221106367,,,210.3340576257809,209.0665155565626,False,False,0,False,True,1.0,0.0,0.0032164132221106367,0.0032164132221106367,1.0019515401586634,1.0389985981216452
2020-01-24,214.89088439941406,14.5600004196167,-0.008415355235083966,,,210.51275671494298,209.12446947539695,False,False,0,False,True,1.0,0.0,-0.008415355235083966,-0.008415355235083966,0.9935197620198888,1.0302550558296972
2020-01-27,210.45217895507812,18.229999542236328,-0.020655624628943214,,,210.51038111651692,209.13768051499576,False,False,0,False,True,1.0,0.0,-0.020655624628943214,-0.020655624628943214,0.9729979907541689,1.008974494124408
2020-01-28,213.6847381591797,16.280000686645508,0.015360065265903389,,,210.63486570642527,209.18292486966428,False,False,0,False,True,1.0,0.0,0.015360065265903389,0.015360065265903389,0.9879433033957459,1.0244724082057908
2020-01-29,214.03208923339844,16.389999389648438,0.001625530569993261,,,210.76809015846345,209.23117526134322,False,False,0,False,True,1.0,0.0,0.001625530569993261,0.001625530569993261,0.9895492354368358,1.026137719423444
2020-01-30,214.79441833496094,15.489999771118164,0.0035617514378005755,,,210.9259853810712,209.28653091381705,False,False,0,False,True,1.0,0.0,0.0035617514378005755,0.0035617514378005755,0.9930737638489274,1.0297925669209818
2020-01-31,211.38818359375,18.84000015258789,-0.01585811571648521,0.14259720779822205,,210.94411080117627,209.30744288078157,False,False,0,False,True,1.0,0.0,-0.01585811571648521,-0.01585811571648521,0.9773254851868056,1.0134619972307726
2020-02-03,214.58212280273438,17.969999313354492,0.015109355474299146,0.1462977062684885,,211.08677793849228,209.35992725811442,False,False,0,False,True,1.0,0.0,0.015109355474299146,0.015109355474299146,0.992092243356585,1.0287747548066255
2020-02-04,219.4936065673828,16.049999237060547,0.02288859715104774,0.1636567856538851,,211.41645749256642,209.4607598880574,False,False,0,False,True,1.0,0.0,0.02288859715104774,0.02288859715104774,1.014799843051453,1.0523219657285623
2020-02-05,220.2173309326172,15.149999618530273,0.003297245767439616,0.1633082472937237,,211.76158978433313,209.5677904457147,False,False,0,False,True,1.0,0.0,0.003297245767439616,0.003297245767439616,1.0181458875387528,1.0557917298760446
2020-02-06,222.11822509765625,14.960000038146973,0.008631900845354812,0.16377247160705075,,212.16773234563993,209.6926703925002,False,False,0,False,True,1.0,0.0,0.008631900845354812,0.008631900845354812,1.0269344218860932,1.0649052194016804
2020-02-07,221.16293334960938,15.470000267028809,-0.0043008255969400055,0.16435586806704044,,212.52048532618775,209.80680236222267,False,False,0,False,True,1.0,0.0,-0.0043008255969400055,-0.0043008255969400055,1.0225177560380667,1.0603252477757625
2020-02-10,223.8358154296875,15.039999961853027,0.012085578896952276,0.1667794317134194,,212.9642237616191,209.9463945320482,False,False,0,False,True,1.0,0.0,0.012085578896952276,0.012085578896952276,1.0348754750521993,1.073139892214187
2020-02-11,223.87445068359375,15.180000305175781,0.00017260532606044876,0.16397705955994013,,213.392075797775,210.08498215544668,False,False,0,False,True,1.0,0.0,0.00017260532606044876,0.00017260532606044876,1.0350541000710027,1.0733251218751911
2020-02-12,226.05516052246094,13.739999771118164,0.009740771366310241,0.16404766243807933,,213.88866735560583,210.24388940287966,False,False,0,False,True,1.0,0.0,0.009740771366310241,0.009740771366310241,1.0451363254115564,1.0837801364890944
2020-02-13,225.76571655273438,14.149999618530273,-0.0012804130153790672,0.16453499817330888,,214.35443399078736,210.39833544417175,False,False,0,False,True,1.0,0.0,-0.0012804130153790672,-0.0012804130153790672,1.043798119257654,1.0823924502965245
2020-02-14,226.41217041015625,13.680000305175781,0.0028633836319027495,0.16273969854768078,,214.82728639939006,210.55767708562433,False,False,0,False,True,1.0,0.0,0.0028633836319027495,0.0028633836319027495,1.046786913707347,1.0854917551219987
2020-02-18,226.4990234375,14.829999923706055,0.00038360582466223647,0.16273190206651184,,215.28500157735516,210.71629744733454,False,False,0,False,True,1.0,0.0,0.00038360582466223647,0.00038360582466223647,1.0471884672646254,1.0859081560818864
2020-02-19,228.670166015625,14.380000114440918,0.009585659775368072,0.16418679957434976,,215.80990998669907,210.8949429057255,False,False,0,False,True,1.0,0.0,0.009585659775368072,0.009585659775368072,1.0572264596325134,1.0963173022133847
2020-02-20,226.54730224609375,15.5600004196167,-0.009283518731456164,0.1699201302731643,,216.23098419294985,211.05068777478388,False,False,0,False,True,1.0,0.0,-0.009283518731456164,-0.009283518731456164,1.0474116779911238,1.0861396200026674
2020-02-21,222.19544982910156,17.079999923706055,-0.019209464751272387,0.1864018503573589,,216.46488480613226,211.16158092955322,False,False,0,False,True,1.0,0.0,-0.019209464751272387,-0.019209464751272387,1.0272914602826821,1.0652754592572657
2020-02-24,213.62681579589844,25.030000686645508,-0.03856349911662715,0.23233506878067411,,216.35358798220153,211.18611062971587,True,False,0,True,False,1.0,0.0,-0.03856349911662715,-0.03856349911662715,0.9876755069615523,1.0241947100252335
2020-02-25,207.81790161132812,27.850000381469727,-0.027191877400448705,0.24096862999423818,,216.01885518334376,211.15259611212,True,False,0,True,False,-1.0,2.0,0.026712512321083626,-0.027191877400448705,1.0140588011104952,0.9963449330360393
2020-02-26,208.88897705078125,27.559999465942383,0.005153913263238996,0.23468996356207353,,215.73925211932172,211.13007253937036,True,False,0,True,False,-1.0,0.0,-0.005233278342604075,0.005153913263238996,1.0087519491485166,1.0014800084011748
2020-02-27,198.4291229248047,39.15999984741211,-0.050073748618309155,0.2917463240894637,,215.06042352345833,211.00369493126524,True,False,0,True,False,-1.0,0.0,0.04999438353894407,-0.050073748618309155,1.059183880989905,0.9513321502142322
2020-02-28,198.58348083496094,40.11000061035156,0.0007778994730260891,0.2910045421087918,,214.41426890822314,210.88011071140153,True,False,0,True,False,-1.0,0.0,-0.0008572645523911684,0.0007778994730260891,1.0582758801942682,0.9520721909925567
2020-03-02,208.83106994628906,33.41999816894531,0.05160343180732485,0.34693775076968303,,214.19531992932377,210.85972224607704,True,False,0,True,False,-1.0,0.0,-0.05168279688668993,0.05160343180732485,1.0035812228281047,1.0012023833760915
