Date,asset,vix,asset_ret,realized_vol,vol_z,ema_fast,ema_slow,core_risk_off,option_risk_off,option_score,risk_off,risk_on,position,switch,strategy_ret,buy_hold_ret,strategy_equity,buy_hold_equity
2010-01-05,40.34160232543945,19.350000381469727,0.0,,,40.34160232543945,40.34160232543945,False,False,0,False,False,0.0,0.0,0.0,0.0,1.0,1.0
2010-01-06,40.09825897216797,19.15999984741211,-0.006032069606665913,,,40.332059448840575,40.33918099854123,True,False,0,True,False,-1.0,1.0,0.005752704527300834,-0.006032069606665913,1.005752704527301,0.9939679303933341
2010-01-07,40.12431716918945,19.059999465942383,0.0006498585646717014,,,40.32391269277583,40.33704304999047,True,False,0,True,False,-1.0,0.0,-0.0007292236440367808,0.0006498585646717014,1.0050192858751057,0.9946138689659092
2010-01-08,40.454559326171875,18.1299991607666,0.008230474193240855,,,40.32903609016391,40.33821236617138,False,False,0,False,False,-1.0,0.0,-0.008309839272605936,0.008230474193240855,0.9966677371436143,1.0028000127466725
2010-01-11,40.28944396972656,17.549999237060547,-0.004081501793507192,,,40.3274834579899,40.337727108495315,True,False,0,True,False,-1.0,0.0,0.0040021367141421125,-0.004081501793507192,1.0006565376862377,0.998707082696118
2010-01-12,39.7853889465332,18.25,-0.012510845857592545,,,40.30622484969748,40.33223120638624,True,False,0,True,False,-1.0,0.0,0.012431480778227465,-0.012510845857592545,1.013096180200092,0.9862124123276209
2010-01-13,40.2807502746582,17.850000381469727,0.01245083537553704,,,40.305225846754766,40.331718958309345,True,False,0,True,False,-1.0,0.0,-0.01253020045490212,0.01245083537553704,1.000401881982089,0.9984915807188234
2010-01-14,40.31552505493164,17.6299991607666,0.0008633101428430212,,,40.30562973727151,40.33155782494241,True,False,0,True,False,-1.0,0.0,-0.0009426752222081006,0.0008633101428430212,0.9994588279156941,0.9993535886280013
2010-01-15,39.84621810913086,17.90999984741211,-0.011640849155786226,,,40.287613594991484,40.32672857403881,True,False,0,True,False,-1.0,0.0,0.011561484076421146,-0.011640849155786226,1.0110140552396798,0.9877202642494891
2010-01-19,40.48933410644531,17.579999923706055,0.01613995073643082,,,40.29552420328379,40.328346539535396,False,False,0,False,False,-1.0,0.0,-0.016219315815795898,0.01613995073643082,0.9946160989835389,1.0036620206558502
2010-01-20,39.90707015991211,18.68000030517578,-0.014380674797032866,,,40.28029071138686,40.32415473476303,True,False,0,True,False,-1.0,0.0,0.014301309717667786,-0.014380674797032866,1.008840411865281,0.9892286835306655
2010-01-21,39.533363342285156,22.270000457763672,-0.009364426306653684,,,40.250999442010325,40.3162861636936,True,False,0,True,False,-1.0,0.0,0.009285061227288604,-0.009364426306653684,1.0182075568580131,0.9799651244233145
