,strategy,buy_hold
ann_return,-0.06780803425211623,0.18268395547835126
ann_vol,0.2063987972241282,0.20604534351038645
sharpe,-0.3285292122050671,0.8866201602325579
max_drawdown,-0.7018523475043001,-0.3511871565038528
hit_rate,0.5101034992607195,0.558896007885658
